Date,Close,High,Low,Open,Volume
2018-01-02,4.409358024597168,4.409358024597168,4.313444837702516,4.313444837702516,33461800
2018-01-03,4.44932222366333,4.454650366821272,4.361401509455284,4.393372401075577,55940900
2018-01-04,4.457314968109131,4.5185929376440415,4.428008400339673,4.470636597248149,37064900
2018-01-05,4.483957290649414,4.491950267370651,4.41468635023645,4.449322074527004,26958200
2018-01-08,4.537242889404297,4.537242889404297,4.451985993601861,4.459978970505633,28400000
2018-01-09,4.537242889404297,4.571878106317666,4.5185926099621625,4.537242889404297,35070900
2018-01-10,4.475964069366455,4.542570680566361,4.46797160125006,4.507935466336381,28547700
2018-01-11,4.595856666564941,4.609177786968876,4.486621853114532,4.4972786478040465,37921500
2018-01-12,4.609177589416504,4.6384846628508445,4.534578505282763,4.539907156483216,45912100
2018-01-15,4.622498989105225,4.646477410154781,4.56921349606885,4.614506012699332,28945400
2018-01-16,4.702426910400391,4.753048080012483,4.609177547904897,4.622499175786049,58618300
2018-01-17,4.891589641571045,4.891589641571045,4.745054793455228,4.774361864712014,58488900
2018-01-18,4.854290008544922,4.936882578562134,4.777026597955326,4.888925733563276,48575800
2018-01-19,4.8649468421936035,4.90757503182461,4.803668883120045,4.878267960890254,33470200
2018-01-22,4.920896530151367,4.920896530151367,4.819654699009296,4.864947217507415,33920000
2018-01-23,4.859617710113525,4.918231338008586,4.795675432000354,4.902245895522307,35567700
2018-01-24,5.152688503265381,5.229951923307333,4.907576105192894,4.907576105192894,89768200
2018-01-25,5.152688503265381,5.152688503265381,5.152688503265381,5.152688503265381,0
2018-01-26,5.309878826141357,5.323199944361415,5.088744909779039,5.2272867752072125,81989500
2018-01-29,5.288565635681152,5.341850625833624,5.213966039665884,5.240608788826207,55726200
2018-01-30,5.192651748657227,5.267251341895273,5.158016531755942,5.267251341895273,46203000
2018-01-31,5.248602390289307,5.30988036492868,5.243273738189822,5.259259186320042,41576600
2018-02-01,5.467071056365967,5.493713803878765,5.2645868867041,5.2645868867041,51950200
2018-02-02,5.320537090301514,5.440429220106558,5.288566194465654,5.40845781610247,50657800
2018-02-05,5.072759628295898,5.320535789011842,5.0727596282958975,5.235279410077139,62268600
2018-02-06,5.325865268707275,5.325865268707275,4.960861276059256,4.97151807100077,74146500
2018-02-07,5.179330825805664,5.387143151459951,5.15801672809322,5.320536532587542,61910300
2018-02-08,5.075423717498779,5.2592581120340745,5.008817104365367,5.208636943765605,51115100
2018-02-09,5.00082540512085,5.16600954652212,4.931554455828373,5.0700963544133275,68727600
2018-02-14,5.128709316253662,5.158016389246059,5.051445399516665,5.06476702731691,43402800
2018-02-15,5.168673515319824,5.205973567388279,5.107395548007026,5.195316264463528,31978000
2018-02-16,5.174002170562744,5.216630365956549,5.144695095666439,5.184658965327109,34736300
2018-02-19,5.341850757598877,5.3551723865917245,5.208637516679522,5.208637516679522,40925500
2018-02-20,5.445758819580078,5.547000684898511,5.280574135128798,5.296559585827851,67418700
2018-02-21,5.39513635635376,5.562984819401871,5.39513635635376,5.485721402496612,55678400
2018-02-22,5.5256853103637695,5.546999409116478,5.4724003175660965,5.485721438723465,38170900
2018-02-23,5.626927852630615,5.632255996374511,5.493714603837136,5.581635327714103,55755600
2018-02-26,5.733497619628906,5.778790138775504,5.69619756916408,5.701526220397362,48160500
2018-02-27,5.728168487548828,5.821417843630919,5.685540297597263,5.720175511369869,42912500
2018-02-28,5.717512130737305,5.800104707063138,5.642913040079382,5.762804653565984,66229400
2018-03-01,5.602948188781738,5.717511130561126,5.531012928372647,5.701525686526252,66380900
2018-03-02,5.730833053588867,5.730833053588867,5.464406601119843,5.515027769376034,52682900
2018-03-05,5.893354892730713,5.906676015569051,5.6908706749447395,5.725505899225378,54242600
